Identificador de la publicación,Identificador de la página,Nombre de la página,Título,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Comentarios,Distribución,Impresiones,Interacciones,Seguimientos netos,Reacciones,Veces que se guardó,Veces que se compartió,Espectadores,Visualizaciones,Segundos en promedio reproducidos,Segundos reproducidos
1343802054451064,100064638461970,Supersubsidio,"📝 Hoy en la Superintendencia del Subsidio Familiar realizamos el comité de capacitación, bienestar e incentivos, revisando y aprobando los planes de capacitación y el programa de bienestar de nuestra entidad.

#Supersubsidio #SupervisarEsCuidar",0,01/13/2026 13:19,https://www.facebook.com/SuperSubsidio/posts/pfbid02WxuDtnL9pV8CE4Z8ynKBHZL4GHkzmv6x9xm8TBEhF57kfLAvwVg74kDgLqYBofMl,Foto,,Total,1,--,8267,30,1,35,0,2,8067,11281,,
1343808217783781,100064638461970,Supersubsidio,"Detrás de cada gran gestión, hay un equipo humano que sueña, aprende y crece. 💙

Hoy no solo nos reunimos para cumplir con una agenda técnica. En el Comité de Capacitación, Bienestar e Incentivos, trabajamos con un propósito claro: cuidar a quienes cuidan de las familias colombianas. 🇨🇴

Al aprobar nuestros planes de capacitación y programas de bienestar, reafirmamos que el crecimiento de nuestros colaboradores es la semilla de un mejor servicio. Porque cuando nuestro equipo está bien, su entrega se transforma en bienestar para todo el país.

¡Seguimos construyendo una entidad con alma y compromiso!

#Supersubsidio #SupervisarEsCuidar",15,01/13/2026 13:34,https://www.facebook.com/reel/1414925313704383/,Reel,,Total,0,+0.1x,2802,29,0,29,1,1,2337,2755,5.082,12130.8
1345412690956667,100064638461970,Supersubsidio,"El Presidente @petrogustavo le solicitó al Ministro de @MinHacienda, Germán Ávila Plazas, que se desindexe el salario mínimo de los costos de la vivienda.

Además, el mandatario explicó que en los años anteriores bajó el porcentaje del ingreso nacional de los trabajadores y fue este Gobierno el que lo recuperó. En todo este tiempo se le quitó más de $656 billones de pesos a los trabajadores.

#SalarioVitalEsDignidad",156,01/15/2026 12:33,https://www.facebook.com/reel/2297906037357155/,Reel,,Total,17,+17.3x,13180,290,16,233,17,39,12309,12932,20.719,249338.03
1348264917338111,100064638461970,Supersubsidio,"🔴 #Hoy | Esta noche, a las 7:00 p.m., el Presidente @petrogustavo liderará un nuevo Consejo de Ministros. 

Conéctate y conoce las razones y el impacto del Decreto de Emergencia Económica. 

Te esperamos en las redes sociales de @infopresidencia y canales públicos.",0,01/19/2026 05:02,https://www.facebook.com/SuperSubsidio/posts/pfbid033T8Y9yLDkzisEpEH1ebVCXKNLAtbB2uLbxZ35qd4iR3cMNgXW1Zqv8ffMfH2UL2ol,Foto,,Total,0,--,725,5,-2,3,0,2,638,1012,,
1349369300561006,100064638461970,Supersubsidio,"🇨🇴 El precio de la vivienda en Colombia debe ser expresado en pesos colombianos y no en salarios mínimos. Así lo establece la circular 04 de 2024 de la Superintendencia de Industria y comercio.

📝 Conocer tus derechos te permite tomar mejores decisiones y hacer valer tus derechos.

¡Con dignidad cumplimos!

#SubsidioDeVivienda #ViviendaEnColombia #Supersubsidio",180,01/20/2026 12:26,https://www.facebook.com/reel/1577511716820009/,Reel,,Total,280,+547.5x,301443,11498,3284,8586,1463,1655,275574,315197,30.355,8737792.419
1351039407060662,100064638461970,Supersubsidio,"🇨🇴 Estamos trabajando en la actualización de la Cuota Monetaria para este 2026. Síguenos en las redes de la Superintendencia del Subsidio Familiar para mantenerte informado y aprovechar todos los beneficios del Sistema del Subsidio Familiar.

#SubsidioFamiliar #Supersubsidio #Subsidio2026 #CuotaMonetaria",0,01/22/2026 08:18,https://www.facebook.com/SuperSubsidio/posts/pfbid0AYXWgdaTxAcQVWeWVsJ3rETHk92aLgHEgJCKp1UxxLhNQMxEZpy8RLbTQL9Yrtodl,Foto,,Total,10,--,9690,26,17,60,0,11,7027,16197,,
1351186850379251,100064638461970,Supersubsidio,"🚨 La Superintendencia del Subsidio familiar advierte sobre mensajes fraudulentos y enlaces sospechosos que circulan ofreciendo falsos bonos y subsidios. ¡Protege tu información y sigue estas recomendaciones!:

🚫 No hagas clic en enlaces sospechosos.

🔒 No entregues tus datos personales o información financiera.

✅ Verifica siempre cualquier información directamente en los canales oficiales de tu Caja de Compensación Familiar.

La prevención es nuestra mejor herramienta contra el fraude. Si recibes este tipo de mensajes, repórtalos a tu Caja de Compensación y a las autoridades competentes.

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",0,01/22/2026 12:23,https://www.facebook.com/SuperSubsidio/posts/pfbid02TqQHWWQhjrPWdehSY8qLq5jpETpJaMN6BXVLENUhdEL2CK7fGn2hz25PM7GAt3hdl,Foto,,Total,1,--,25132,112,10,92,0,74,21843,35885,,
1351200590377877,100064638461970,Supersubsidio,"🚨 Desde la Supersubsidio reiteramos nuestro compromiso con la transparencia y la protección de tus derechos. Recuerda que la prevención y la información oportuna son tus mejores defensas contra el fraude.

Si recibes contenido sospechoso, repórtalo de inmediato a las autoridades competentes y a tu Caja de Compensación.

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",0,01/22/2026 12:53,https://www.facebook.com/SuperSubsidio/posts/pfbid02SKNxQPjTJzVxsa34WjspHcsXNqDQnbFceesi6koaVDi448VBRkBkxHocKcsZoFQpl,Foto,,Total,0,--,1299,13,0,7,1,5,1236,1749,,
1352069576957645,100064638461970,Supersubsidio,"🚨 Cualquier trámite ante la Superintendencia del Subsidio Familiar es 100 % gratuito. Si alguien te pide dinero para ayudarte ¡Ten cuidado! Confirma la información solo en nuestros canales oficiales.

💙 Tu bienestar es nuestro compromiso.

#Supersubsidio #SupervisarEsCuidar #Subsidio #Colombia",0,01/23/2026 15:02,https://www.facebook.com/SuperSubsidio/posts/pfbid0z29i9w71hjBXUEjfR9viAzJ3bDLK7UFhiXjCdMofW1QPGjYMxtmtinNoTwoxSxvSl,Foto,,Total,0,--,1280,8,0,7,1,0,1168,1778,,
1354626486701954,100064638461970,Supersubsidio,"🇨🇴 La cuota monetaria o subsidio familiar es un derecho que respalda tu bienestar y el de tu familia con apoyos en dinero, especie y servicios.

📝 Desde la Superintendencia del Subsidio Familiar estamos trabajando en la actualización de este importante derecho para la vigencia 2026.

💻 Mantente atento a nuestros canales de información para aprovechar todos los beneficios del Sistema del Subsidio Familiar.

#CuotaMonetaria #SubsidioFamiliar #Supersubsidio #SupervisarEsCuidar",0,01/26/2026 07:44,https://www.facebook.com/SuperSubsidio/posts/pfbid0pfp99V6DRPuibiLSirD6AQggPeLKNATxkdwVa6MPTYCTCyaFL8vkBpWADJhBwXMQl,Foto,,Total,1,--,1306,16,1,17,0,0,1200,1795,,
1355359196628683,100064638461970,Supersubsidio,"El trabajo es fuente de riqueza y desarrollo para Colombia. 🇨🇴

Reconocer el #SalarioVitalDigno significa avanzar en el reconocimiento del trabajo de millones de mujeres trabajadoras.

Garantizar un ingreso digno a los colombianos y colombianas representa un paso fundamental hacia la justicia social, la equidad y el bienestar.",0,01/27/2026 04:18,https://www.facebook.com/SuperSubsidio/posts/pfbid02wpvKibwQiky2v7RMB6vndZtFVcPVFQrwY7iReENysjUUYmrctMaBxNaX9Dk2mPW6l,Foto,,Total,0,--,1985,7,0,22,0,2,1837,2664,,
1355381073293162,100064638461970,Supersubsidio,"Con el #SalarioVitalDigno le estamos devolviendo la dignidad a millones de colombianos que diariamente contribuyen a la construcción de una Colombia que avanza hacia la justicia social.

Con un aumento histórico del 23%, las trabajadoras y los trabajadores de Colombia cuentan hoy con un ingreso más justo, que les permite mejorar su calidad de vida y garantizar el bienestar de sus familias. Este es un paso firme en la defensa del trabajo digno y de los derechos laborales.",35,01/27/2026 04:51,https://www.facebook.com/reel/4321677634786732/,Reel,,Total,2,+0.8x,1755,22,4,18,0,2,1408,1653,5.754,8441.529
1355452553286014,100064638461970,Supersubsidio,"Si evidencias abusos en precios y prácticas comerciales asociados al aumento del salario mínimo vital, ten en cuenta que la @sicsuper reforzará los controles y acciones de vigilancia para proteger tus derechos como consumidor.

El #SalarioVitalDigno no debe ser usado como un argumento para incrementos en precios que afectan a la ciudadanía.",33,01/27/2026 06:11,https://www.facebook.com/reel/1717294213009107/,Reel,,Total,0,+1x,2717,48,7,42,0,8,2171,2663,7.85,18213.096
1356430186521584,100064638461970,Supersubsidio,"📝 La Supersubsidio, en cumplimiento de la Resolución 0416 de 2019, convocó al Comité Técnico Contable del Sistema de Subsidio Familiar, con la participación de 12 cajas de compensación familiar, para trabajar de manera articulada en la unificación de criterios contables y el fortalecimiento de la transparencia y la supervisión institucional.

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",0,01/28/2026 06:51,https://www.facebook.com/SuperSubsidio/posts/pfbid02JxUd2AUSKJNDJwiagUduvm2ooVQBv1borNamDRpsMJK7L6vcSDV1zdiFLg248bxml,Foto,,Total,3,--,8591,31,3,27,0,2,8054,11705,,
1359303386234264,100064638461970,Supersubsidio,"📝 La Superintendencia del Subsidio Familiar expidió la Resolución 0091 del 30 de enero de 2026, mediante la cual se establecen las cuotas monetarias que aplicarán las Cajas de Compensación Familiar durante esta vigencia.

Los recursos del subsidio familiar contribuyen al fortalecimiento del ingreso de los hogares, al empleo formal y al acceso a servicios sociales esenciales.

#SubsidioFamiliar #CuotaMonetaria #Supersubsidio #SupervisarEsCuidar",0,01/31/2026 10:58,https://www.facebook.com/SuperSubsidio/posts/pfbid0QcSDcmChoZoZPWEMVayeKSik7Z11UHmBdZ88UeNhzi73tV1m9qH21CWct3pWFWqol,Foto,,Total,159,--,251596,912,351,768,44,143,230737,380557,,
1359316149566321,100064638461970,Supersubsidio,"En 2026, el subsidio familiar continúa acompañando a las familias de todo el país. 🇨🇴

Conoce las cuotas establecidas para cada región. 💵

Acércate a tu Caja de Compensación Familiar y entérate de cómo acceder a este beneficio. 💙

#SubsidioFamiliar #CuotaMonetaria #Supersubsidio #SupervisarEsCuidar",0,01/31/2026 11:20,https://www.facebook.com/SuperSubsidio/posts/pfbid07aQrpTkkgc8G8vEumMR7pByR1bcnzjuR5hgb4dBePBcNbbQKVc7FzXrmxGvTCLo4l,Foto,,Total,40,--,34013,211,38,261,18,89,26148,58778,,
1359922506172352,100064638461970,Supersubsidio,"📢 ¡Atención trabajadores y trabajadoras de Colombia!

Ya están definidas las nuevas cuotas monetarias del subsidio familiar para 2026. 

👉 Consulta los valores correspondientes a tu departamento y acércate a tu Caja de Compensación Familiar para conocer cómo acceder a este beneficio.

#SubsidioFamiliar #CuotaMonetaria #Supersubsidio #SupervisarEsCuidar #Subsidios",178,02/01/2026 07:10,https://www.facebook.com/reel/1826157761389032/,Reel,,Total,442,+1464.4x,680956,13273,3227,10052,1462,2278,616723,708521,35.898,22918148.855
1360859936078609,100064638461970,Supersubsidio,"Este martes 3 de febrero, el pueblo colombiano se moviliza en las plazas del país para realizar una cadena de afectos que rodea al Presidente de la República, @PetroGustavo, en defensa de la soberanía nacional y del salario vital. 

Nos vemos a las 9:00 a. m. en la Plaza de Bolívar de Bogotá y en todas las plazas del país.

#3FALasPlazas",0,02/02/2026 11:14,https://www.facebook.com/SuperSubsidio/posts/pfbid02BTiE5LseUgB4gb6UD8qs3UGQSVPdJtqjMMFswgG9ZQNf4cek1UVtqLymoNfZbSSel,Foto,,Total,14,--,1208,34,0,17,0,4,1115,1894,,
1361066356057967,100064638461970,Supersubsidio,"Defender lo nuestro es un acto de amor. 🇨🇴

Mañana nos encontramos para abrazar la esperanza. Nos unimos en defensa de los derechos que nos pertenecen: el salario de los trabajadores y la autonomía de nuestra nación.

Acompañemos al presidente @PetroGustavo en esta jornada de unidad nacional. 🤝

🗓️ Martes 3 de febrero
🕘 9:00 a. m.
📍 Plaza de Bolívar (Bogotá) y plazas de todo el territorio nacional.

¡Que el país sienta la fuerza de un pueblo unido! ✊💪

#3FALasPlazas",0,02/02/2026 18:32,https://www.facebook.com/SuperSubsidio/posts/pfbid0bi1bvKVgXNEam84jKGTq1a41UTTwBkSumg89NPA4Gp9S6mWTKVDdYUgNv1uzGwaVl,Foto,,Total,0,--,973,8,-2,7,0,1,887,1341,,
1361453226019280,100064638461970,Supersubsidio,"Desde @supersubsidio acompañamos la agenda que desarrolla el Presidente @PetroGustavo en su visita como Jefe de Estado a Washington.

Unidos como nación, promovemos diálogos de alto nivel que protegen la soberanía y reafirman la dignidad y grandeza de Colombia.

#AgendaDeEstado
#AcuerdosPorColombia",0,02/03/2026 05:27,https://www.facebook.com/SuperSubsidio/posts/pfbid0MqnewsdL1ViP8JWKjwypzHuQB1AxbUestK74irngQiatbtfAWzgRvEkpnacz6rkul,Foto,,Total,0,--,570,5,0,5,0,0,479,762,,
1361518402679429,100064638461970,Supersubsidio,"🇨🇴 Desde la Superintendencia del Subsidio Familiar nos sumamos a la cadena de afectos que rodea al Presidente de la República, @PetroGustavo, en defensa de la soberanía nacional y del salario vital. 

#3FALasPlazas",0,02/03/2026 07:01,https://www.facebook.com/SuperSubsidio/posts/pfbid02yWSkZav9ko8eysG78UFsbURs8gBkFqCRiwcAgwx4XoAKecosWQaGe3etnC5xNKdMl,Foto,,Total,23,--,4927,91,-1,75,0,1,4548,7077,,
1361676402663629,100064638461970,Supersubsidio,"🇨🇴 Colombia unida expresa su apoyo al presidente @gustavopetrourrego en defensa de la soberanía nacional y del salario vital. 

#3FALasPlazas",22,02/03/2026 09:59,https://www.facebook.com/reel/1210497261192608/,Reel,,Total,85,+18.9x,4972,315,1,240,0,1,3867,4582,6.763,26843.817
1361835462647723,100064638461970,Supersubsidio,"⚖️ Hoy, desde la Superintendencia del Subsidio Familiar, enviamos un caluroso mensaje de felicitación a todas y todos los abogados en su día. Les deseamos mucho éxito en el ejercicio de su profesión.

#DíaInternacionalDelAbogado #Abogados #Supersubsidio",0,02/03/2026 14:40,https://www.facebook.com/SuperSubsidio/posts/pfbid0d5Bs223Bkgq62MHGYWhttTaFTtbDmT2jrgMQhk9NJL2ospRGbhgAaPLnmr4f8eEal,Foto,,Total,0,--,1370,9,1,9,0,0,1284,1839,,
1364617532369516,100064638461970,Supersubsidio,"Tu consulta es importante para nosotros. 🤝

Conoce nuestros canales de atención y comunícate con la Supersubsidio cuando lo necesites.

#Supersubsidio #SupervisarEsCuidar",0,02/06/2026 11:23,https://www.facebook.com/SuperSubsidio/posts/pfbid02kFH5UCKTFRTXZAE51KU1BZg9VK9vn6zUjC4CMcE7Wr7vqd3tscFAqe3Hj778n6iil,Foto,,Total,0,--,1151,8,0,9,0,1,1005,1610,,
1367497075414895,100064638461970,Supersubsidio,"📝 Para acceder a los beneficios del Sistema del Subsidio Familiar debes estar afiliado a una Caja de Compensación Familiar. Aquí te explicamos lo que debes saber sobre el proceso de afiliación tanto para trabajadores dependientes como independientes.

#Supersubsidio #SupervisarEsCuidar #Subsidios",0,02/09/2026 13:21,https://www.facebook.com/SuperSubsidio/posts/pfbid0gWw6AhSyjtGe8kGXQULew516bG8ktAPdd1GMZGJYaxxGQ7Cpowv9CV1uLtXWc23Nl,Foto,,Total,11,--,36094,138,34,81,9,43,33810,48802,,
1368083942022875,100064638461970,Supersubsidio,"El Presidente @gustavopetrourrego ordenó aplicar de manera inmediata el alivio en las tarifas de las generadoras públicas de energía en las zonas afectadas por la emergencia por las lluvias.

#UnidosAnteLaEmergencia",0,02/10/2026 05:49,https://www.facebook.com/SuperSubsidio/posts/pfbid0Sd59tSu794sYTBALdZPEGWtG3Ex4K1bM3fFzd8YrULGxB6dN5EWnvesTKrFLqrW8l,Foto,,Total,0,--,1766,5,0,5,0,0,1610,2289,,
1368115725353030,100064638461970,Supersubsidio,"🇨🇴 El Gobierno Nacional responde con acciones concretas a las familias afectadas por la emergencia ocasionada por las lluvias, especialmente en Antioquia, Córdoba y Nariño.

El despliegue logístico ha permitido llevar 10 toneladas de ayuda humanitaria, restablecer la conectividad para la evacuación de las comunidades, entregar 7.400 kits a las familias damnificadas y desplegar maquinaria amarilla.

#UnidosAnteLaEmergencia",55,02/10/2026 06:26,https://www.facebook.com/reel/4407970956195984/,Reel,,Total,0,+0.5x,803,10,0,7,0,3,643,781,6.04,4319.007
1368133578684578,100064638461970,Supersubsidio,"🇨🇴 Gracias a la unión de los bogotanos y el sector privado, el Gobierno Nacional lleva a Córdoba más de 10 toneladas de alimentos para 5.500 animales, tras la emergencia climática por las lluvias que atraviesa el país.

#UnidosAnteLaEmergencia",0,02/10/2026 06:51,https://www.facebook.com/SuperSubsidio/posts/pfbid02xfr1nARLnu4C8TsMZr6pZHhMyNbRonsDjHGU2fMN18XrDsujdesgzQypAsxAB7p1l,Foto,,Total,0,--,2775,16,0,16,0,0,2472,3668,,
1369122651919004,100064638461970,Supersubsidio,"👉 La cuota monetaria es un subsidio en dinero al que tienen derecho los trabajadores y trabajadoras por cada persona a cargo que cumpla los requisitos establecidos en la ley.

📝 Aquí te informamos cuáles son las personas a cargo del beneficiario, por las que puedes recibir este subsidio monetario.

#CuotaMonetaria #Subsidios #SubsidioFamiliar #Supersubsidio
#SupervisarEsCuidar",0,02/11/2026 08:30,https://www.facebook.com/SuperSubsidio/posts/pfbid0XRmzoeyxLh3k5wfQwYvym3FaKViSx12mYyLC4Cvsi6eFVnL7zbz232f6EDtyJdb1l,Foto,,Total,1,--,3620,42,0,29,4,13,3289,5396,,
1369935618504374,100064638461970,Supersubsidio,"Ningún niño o niña nace para la guerra. 🤚🚫

En el Día de las Manos Rojas, recordamos que el uso de menores en conflictos armados es una violación atroz a sus derechos humanos. Es nuestra responsabilidad colectiva proteger su presente para asegurar su futuro.

Hoy levantamos la mano por quienes no pueden hacerlo. La paz empieza protegiendo a los más pequeños.

#DíaDeLasManosRojas",0,02/12/2026 05:19,https://www.facebook.com/SuperSubsidio/posts/pfbid02cUtsMA9np1JfjzyMwQXAq48fvr8Phe8tZuhoxeLf9qmyrk1BTxo8Zm65jn7u8Gwyl,Foto,,Total,0,--,609,8,0,8,0,0,508,768,,
1369986945165908,100064638461970,Supersubsidio,"#DíadelasManosRojas | Identificar las alertas es vital para prevenir el reclutamiento de niñas, niños y adolescentes. ¿Conoces alguna otra forma en la que los grupos armados ilegales se acercan a la niñez y adolescencia?",0,02/12/2026 06:44,https://www.facebook.com/SuperSubsidio/posts/pfbid02mTHHr76zLJDuUAKMUxBzPXAGcFXZYtBG9jip91qgA22TUPmdxbUMisq39kYBZaHQl,Foto,,Total,0,--,623,8,0,5,0,3,543,831,,
1370005565164046,100064638461970,Supersubsidio,"#DíaDeLasManosRojas | Reporta de forma anónima casos de reclutamiento de niñas, niños y adolescentes:

- Línea 141 del Bienestar Familiar
- Línea 123 de la Policía Nacional
- Contactando entidades como Defensoría del Pueblo, personerías, comisarías y defensorías de Familia.",0,02/12/2026 07:12,https://www.facebook.com/SuperSubsidio/posts/pfbid02WwviikdGB7HQPY11XrhjzNhF7BqE7eL33gmmiRSoUMJB491Lxk98pvKxK2exQ6FLl,Foto,,Total,0,--,374,5,0,5,0,0,333,497,,
1370217691809500,100064638461970,Supersubsidio,"🇨🇴 Nuestra Superintendente, Sandra Viviana Cadena Martínez, llegó a Valle del Cauca para conocer y validar los proyectos de inversión de @comfandi, los cuales estarán al servicio de sus afiliados.

📝 Desde la Supersubsidio nos encargaremos de cumplir con nuestra misión de inspección, vigilancia y control para garantizar que los afiliados reciban los servicios de educación, bienestar, capacitación y fortalecimiento en el Sistema del Subsidio Familiar.

¡Con dignidad cumplimos!

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",46,02/12/2026 12:38,https://www.facebook.com/reel/1295867919229401/,Reel,,Total,0,+0.8x,2021,29,3,28,1,6,1899,2232,7.186,14472.709
1370303101800959,100064638461970,Supersubsidio,"¡En el territorio, aseguramos que el bienestar de los trabajadores sea una realidad! 🇨🇴✨

Hoy, nuestra Superintendente, Sandra Viviana Cadena Martínez, llegó al Valle del Cauca con el objetivo de verificar de primera mano la ejecución de los recursos del Subsidio Familiar y el impacto real de los programas de @Comfandi en la región.

Estos son los proyectos de inversión social al servicio de las familias vallecaucanas:

1️⃣ Educación con propósito: Visitamos los colegios de Yumbo y Calipso. Conocimos los modelos de formación técnica en convenio con el SENA, que benefician a más de 1.200 estudiantes, garantizando que la educación sea un motor de movilidad social.

2️⃣ Infraestructura para la vida: Recorrimos el Campus E Arroyohondo. Nuestra lupa está puesta en que los servicios de recreación y deporte lleguen efectivamente a los afiliados de categorías A y B, con una proyección de más de 326 mil usos para este año.

3️⃣ Innovación y Empleo: En el Campus E Centro, verificamos la operación de la Agencia de Empleo y los servicios de educación financiera. Resaltamos el equipo de innovación, reconocido con el premio Oro SSF, por su enfoque en generar valor social.

4️⃣ Salud al servicio del afiliado: Cerramos la jornada en la IPS Torres, entidad que presta servicios de salud para cerca de 55.000 usuarios.

Nuestra misión es clara: ejercer una vigilancia técnica y rigurosa para que cada peso del sistema se traduzca en bienestar y oportunidades para las familias colombianas. 🛡️💪

#Supersubsidio #SupervisarEsCuidar #SubsidioFamiliar",0,02/12/2026 15:29,https://www.facebook.com/SuperSubsidio/posts/pfbid02QV1TYzcy5iPEx5r1N4pmzSPAVUcuRCMYQwpPzumww1aNLDWXsGVLmQwBfqp7eXWQl,Foto,,Total,3,--,1695,11,0,9,0,0,1512,2797,,
